Sign_Number,SOL,INI,MED,FIN,TOT
1,3,12,33,86,134
2,0,7,14,0,21
3,0,2,3,1,6
4,0,1,0,1,2
5,0,0,0,2,2
6,0,4,1,0,5
7,3,3,1,1,8
8,0,2,103,0,105
9,0,2,10,0,12
10,0,0,5,1,6
11,0,1,1,0,2
12,1,1,9,69,80
13,0,0,0,1,1
14,0,0,2,11,13
15,3,1,30,92,126
16,0,1,0,0,1
17,0,38,49,4,91
18,0,7,20,0,27
19,0,0,7,1,8
20,0,1,0,0,1
21,0,0,2,0,2
22,0,1,2,0,3
23,0,1,0,0,1
24,0,0,1,1,2
25,0,10,38,5,53
26,0,1,0,0,1
27,0,2,0,0,2
28,0,17,28,5,50
29,0,2,0,1,3
30,0,1,0,1,2
31,2,0,0,0,2
32,0,2,8,1,11
33,0,0,1,0,1
34,0,2,0,0,2
35,0,3,1,0,4
36,0,0,2,0,2
37,0,1,0,0,1
38,1,1,3,1,6
39,0,0,1,0,1
40,3,5,2,4,14
41,0,14,6,0,20
42,0,1,0,0,1
43,0,1,1,0,2
44,2,0,0,0,2
45,0,3,0,1,4
46,0,0,0,1,1
47,1,5,10,0,16
48,0,74,93,1,168
49,0,0,2,0,2
50,0,5,3,0,8
51,1,25,75,4,105
52,0,0,0,1,1
53,0,32,96,2,130
54,0,9,9,1,19
55,0,1,3,0,4
56,0,2,4,2,8
57,0,2,4,1,7
58,0,0,7,0,7
59,18,36,309,18,381
60,1,2,5,21,29
61,0,0,1,0,1
62,0,0,13,0,13
63,8,0,2,0,10
64,0,0,2,0,2
65,1,77,137,1,216
66,1,3,5,10,19
67,2,68,209,0,279
68,0,0,2,7,9
69,2,1,1,0,4
70,0,17,55,1,73
71,0,0,2,5,7
72,0,40,148,0,188
73,1,4,0,3,8
74,0,0,2,0,2
75,0,4,8,1,13
76,0,10,5,0,15
77,0,1,1,0,2
78,0,1,7,0,8
79,0,1,0,0,1
80,0,3,1,0,4
81,0,0,19,5,24
82,0,0,1,0,1
83,0,1,2,1,4
84,0,5,3,0,8
85,1,0,0,0,1
86,1,67,70,11,149
87,1,147,199,18,365
88,1,0,0,0,1
89,1,140,159,14,314
90,0,2,0,0,2
91,0,0,0,2,2
92,0,1,0,0,1
93,5,0,1,5,11
94,0,2,7,2,11
95,0,59,5,0,64
