Sign_Number,SOL,INI,MED,FIN,TOT
342,3,1,420,971,1395
99,0,2,625,22,649
59,18,36,309,18,381
267,1,298,62,15,376
87,1,147,199,18,365
176,1,0,38,316,355
328,1,19,29,274,323
89,1,140,159,14,314
67,2,68,209,0,279
169,1,3,106,130,240
336,1,65,168,2,236
211,1,0,42,184,227
65,1,77,137,1,216
162,3,10,109,90,212
245,0,28,136,43,207
391,3,135,41,16,195
123,0,0,186,7,193
72,0,40,148,0,188
343,0,20,152,5,177
249,1,35,128,6,170
48,0,74,93,1,168
102,7,71,70,3,151
86,1,67,70,11,149
293,0,72,61,3,136
389,0,65,69,0,134
1,3,12,33,86,134
171,0,37,92,3,132
53,0,32,96,2,130
15,3,1,30,92,126
347,0,1,116,1,118
51,1,25,75,4,105
8,0,2,103,0,105
387,0,30,72,0,102
402,1,7,61,30,99
403,2,16,74,1,93
149,2,5,65,20,92
17,0,38,49,4,91
97,0,1,87,3,91
216,2,36,49,3,90
244,0,26,63,0,89
287,0,17,69,2,88
98,0,4,72,12,88
12,1,1,9,69,80
124,0,19,59,0,78
204,0,50,25,1,76
70,0,17,55,1,73
254,0,3,9,61,73
104,1,31,35,3,70
112,0,16,54,0,70
121,0,11,58,1,70
307,1,15,36,17,69
95,0,59,5,0,64
150,0,51,11,1,63
130,0,0,58,5,63
373,0,19,29,13,61
197,1,22,36,1,60
341,0,11,45,3,59
194,0,3,53,2,58
375,0,14,31,12,57
175,1,21,27,5,54
230,0,3,45,6,54
25,0,10,38,5,53
294,0,4,49,0,53
345,0,25,24,2,51
252,0,2,33,16,51
28,0,17,28,5,50
127,7,7,32,4,50
155,0,5,44,0,49
407,0,0,47,1,48
180,0,2,35,7,44
182,0,15,25,3,43
327,0,12,29,1,42
284,0,18,11,12,41
173,0,24,9,5,38
109,1,20,17,0,38
106,1,18,18,1,38
178,0,18,17,0,35
326,7,7,20,1,35
296,0,4,31,0,35
344,3,4,26,2,35
135,0,3,31,1,35
186,0,15,15,3,33
358,0,0,32,0,32
103,2,22,6,0,30
100,1,12,16,0,29
233,0,5,22,2,29
60,1,2,5,21,29
261,0,9,14,4,27
18,0,7,20,0,27
319,0,6,12,9,27
205,0,18,8,0,26
409,1,14,11,0,26
153,0,9,16,1,26
242,9,3,0,14,26
193,0,2,23,0,25
209,0,1,23,0,24
81,0,0,19,5,24
137,2,3,14,4,23
210,0,17,4,1,22
222,0,2,20,0,22
96,1,2,13,6,22
348,1,1,20,0,22
190,0,1,5,16,22
177,1,16,2,2,21
253,0,10,9,2,21
2,0,7,14,0,21
192,0,2,19,0,21
41,0,14,6,0,20
258,0,12,8,0,20
54,0,9,9,1,19
66,1,3,5,10,19
125,0,0,17,1,18
379,0,11,6,0,17
113,0,0,16,1,17
47,1,5,10,0,16
214,4,5,6,1,16
286,0,13,2,0,15
76,0,10,5,0,15
136,0,5,10,0,15
139,1,1,0,13,15
400,0,5,8,1,14
40,3,5,2,4,14
134,0,2,12,0,14
224,2,1,2,9,14
381,0,0,13,1,14
119,0,13,0,0,13
397,1,9,3,0,13
325,0,5,8,0,13
301,0,4,9,0,13
